1,2,3,4,5,6,7
2.256648,1.175605,0.805703,0.616200,0.476513,0.423016,0.373957
2.256648,1.128324,0.752216,0.564162,0.451329,0.376108,0.322378
1.000000,1.919563,2.800843,3.662200,4.735753,5.334663,6.034511
0.000000,0.041902,0.035552,0.030745,0.013948,0.024944,0.026665
