1,2,3,4,5,6,7,8
16.142707,8.097820,5.408948,4.197641,3.364863,2.887906,2.475071,2.173411
16.142707,8.071353,5.380902,4.035676,3.228541,2.690451,2.306101,2.017838
8.071353,4.048910,2.704474,2.098820,1.682431,1.443953,1.237535,1.086705
